Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805",141.896160,-98.130934,270.000000,top
"C2","10uF","C_0805",152.056160,-98.130934,90.000000,top
"D2","DONE","LED_0603",151.586160,-103.210934,180.000000,top
"D3","CHRG","LED_0603",142.696160,-103.210934,180.000000,top
"JP1","Bridge if no U3","SMT-JUMPER_2_NO_SILK",146.976160,-103.210934,180.000000,top
"R1","100 ohms","0805",146.976160,-107.020934,180.000000,top
"R2","2.463k ohms","0805",142.795320,-93.050934,0.000000,top
"R3","0ohm","0805",150.786160,-93.050934,180.000000,top
"U2","CN3058E","SOIC-8_3.9x4.9mm_Pitch1.27mm",146.976160,-98.130934,-90.000000,top
